run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,k_vol,gamma,gamma_inv_scale,gamma_vol_scale,gamma_cap_factor,gamma_imb,size_base,size_min_factor,size_exp,max_inventory,order_ttl
19614e5c,-2.127821008760293,-1.986857832725556,-0.04603791614864538,0.13143127922200296,0,0.8,0.05,1,1,5.0,0.5,0.005,0.3,2,0.05,0.6
caac2dcd,-2.217950992542683,-2.097191019565871,-0.043990076374668695,0.15208547220534505,0,0.8,0.05,2,0,5.0,0.5,0.005,0.3,2,0.05,0.6
cfe57c79,-2.156542540598821,-2.066681241441394,-0.044844806765065914,0.18388005265686969,0,0.8,0.05,1,0,5.0,0.5,0.005,0.3,2,0.05,0.6
f8e99b9f,-2.2936760877364577,-2.1319619775439893,-0.04698980478296974,0.13938557099959442,0,0.8,0.05,4,0,5.0,0.5,0.005,0.3,2,0.05,0.6
dfec9e17,-2.271796369976073,-2.1193544302497824,-0.045819228788488535,0.1360973031851455,0,0.8,0.05,2,1,5.0,0.5,0.005,0.3,2,0.05,0.6
dad68567,-2.207327002864986,-2.050505004892493,-0.04620735259923694,0.1288735400356483,0,0.8,0.05,4,1,5.0,0.5,0.005,0.3,2,0.05,0.6
ecb5913c,-2.080544086831651,-1.922946596499439,-0.04491049581973168,0.105351408671056,0,0.8,0.1,1,0,5.0,0.5,0.005,0.3,2,0.05,0.6
c84ecc22,-2.3374124606434634,-2.151193061656353,-0.048973000357198884,0.11437305951507969,0,0.8,0.1,1,1,5.0,0.5,0.005,0.3,2,0.05,0.6
34dd5770,-2.2458202612779132,-2.090707311124092,-0.0476104638653165,0.12794731656637884,0,0.8,0.1,2,1,5.0,0.5,0.005,0.3,2,0.05,0.6
f20f6d82,-2.0751409398762917,-1.9628091283203162,-0.04857542691319494,0.16507831002058135,0,0.8,0.1,4,0,5.0,0.5,0.005,0.3,2,0.05,0.6
a64e434d,-2.2363178678315307,-2.118086930421521,-0.05453843445433727,0.21908013656250871,0,1.0,0.05,1,0,5.0,0.5,0.005,0.3,2,0.05,0.6
eaec57f6,-2.2866335965100006,-2.155292095161944,-0.052431500167384876,0.20683588789326388,0,1.0,0.05,2,0,5.0,0.5,0.005,0.3,2,0.05,0.6
e2a88bba,-2.2056053407904983,-2.0614725039226487,-0.045875625297359106,0.13556297233477255,0,0.8,0.1,4,1,5.0,0.5,0.005,0.3,2,0.05,0.6
3635e327,-2.2963135412992415,-2.1733403722222975,-0.04797261762239487,0.17531286189725281,0,0.8,0.1,2,0,5.0,0.5,0.005,0.3,2,0.05,0.6
9556d662,-2.2488025958882645,-2.1409048897922314,-0.052344165515504484,0.22599017456055562,0,1.0,0.05,2,1,5.0,0.5,0.005,0.3,2,0.05,0.6
c01f9540,-2.1922155759457382,-2.029056317935407,-0.05167891480866932,0.15114135309354793,0,1.0,0.05,1,1,5.0,0.5,0.005,0.3,2,0.05,0.6
0b8bc848,-2.224564864740387,-2.0927904690463177,-0.05306123771591667,0.2097203778118404,0,1.0,0.05,4,1,5.0,0.5,0.005,0.3,2,0.05,0.6
1011f282,-2.2558377517525514,-2.083280025070206,-0.05583149251954603,0.17308040694098825,0,1.0,0.05,4,0,5.0,0.5,0.005,0.3,2,0.05,0.6
6addf6cc,-2.305353122384986,-2.176247928091858,-0.05491108587230054,0.2223435002573354,0,1.0,0.1,2,0,5.0,0.5,0.005,0.3,2,0.05,0.6
c586f58b,-2.224380458554151,-2.071926085882124,-0.052433411028513045,0.16753631829327378,0,1.0,0.1,2,1,5.0,0.5,0.005,0.3,2,0.05,0.6
aa3a4931,-2.281098711895538,-2.1261292470495974,-0.05521852154536972,0.1853245941992875,0,1.0,0.1,1,0,5.0,0.5,0.005,0.3,2,0.05,0.6
69d3020f,-2.288731611253752,-2.1450620773930273,-0.05145644797685188,0.197816936048713,0,1.0,0.1,1,1,5.0,0.5,0.005,0.3,2,0.05,0.6
249dc95c,-2.1633780750798906,-2.052424628625072,-0.05371544353914339,0.20374388279548736,0,1.0,0.1,4,0,5.0,0.5,0.005,0.3,2,0.05,0.6
27578510,-2.1843648767298873,-2.055641561083551,-0.04709175770354449,0.19610104845636,0,1.0,0.1,4,1,5.0,0.5,0.005,0.3,2,0.05,0.6
e9ff23bf,-1.5446511533355078,-1.6718905202821366,-0.04869333932628339,0.2641655929272558,0,1.3,0.05,1,1,5.0,0.5,0.005,0.3,2,0.05,0.6
2f49944c,-1.6304574922960455,-1.6785929076958415,-0.04698843046690912,0.19672551013213718,0,1.3,0.05,4,0,5.0,0.5,0.005,0.3,2,0.05,0.6
2536f138,-1.626419615740815,-1.7041236755945888,-0.04394598547193291,0.21882934365022333,0,1.3,0.05,4,1,5.0,0.5,0.005,0.3,2,0.05,0.6
4ca422a0,-1.6004112024129427,-1.689151444992598,-0.04609471264886344,0.2210544155119582,0,1.3,0.05,2,0,5.0,0.5,0.005,0.3,2,0.05,0.6
92506032,-1.5402206653106987,-1.653763250177115,-0.04948165406074876,0.23936128340168336,0,1.3,0.05,1,0,5.0,0.5,0.005,0.3,2,0.05,0.6
293ffa1d,-1.5604702696382446,-1.684575765969057,-0.04927406000824041,0.24603718251545179,0,1.3,0.05,2,1,5.0,0.5,0.005,0.3,2,0.05,0.6
98a50a53,-1.6162110548611963,-1.6870441147289912,-0.048136401080540396,0.20866314742858325,0,1.3,0.1,1,1,5.0,0.5,0.005,0.3,2,0.05,0.6
82effbf9,-1.530276523075372,-1.7012216485686964,-0.046874647732462436,0.30696363001588256,0,1.3,0.1,1,0,5.0,0.5,0.005,0.3,2,0.05,0.6
d0f8bffc,-1.601472316599029,-1.6454733172364593,-0.04835932289470044,0.1993646655968236,0,1.3,0.1,2,0,5.0,0.5,0.005,0.3,2,0.05,0.6
8a896583,-1.5824822620452323,-1.6723485521355341,-0.04561311089221615,0.22832687439338792,0,1.3,0.1,2,1,5.0,0.5,0.005,0.3,2,0.05,0.6
23c2b662,-1.5514909234298102,-1.6834875546386339,-0.04981633734994753,0.25173567401451374,0,1.3,0.1,4,1,5.0,0.5,0.005,0.3,2,0.05,0.6
541703ad,-1.59965750766969,-1.7049038922379463,-0.04706220278866228,0.24589215251125476,0,1.3,0.1,4,0,5.0,0.5,0.005,0.3,2,0.05,0.6
