run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,gamma_cap_factor,gamma_imb,size_base,size_min_factor,size_exp,max_inventory,order_ttl,extra_spread_ticks,gamma,k_vol,hold_time,hedge_fraction,gamma_inv_scale,gamma_vol_scale
863bdeb7,-0.27499502833779843,-0.0747996681401558,-0.0068744317820251975,0.053684008150286615,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.16,6,2.0,0.2,1,0
5d4fb232,-0.14580594102153555,-0.0973537295172429,-0.009109314179328616,0.06762660700209326,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.16,6,2.0,0.2,1,1
a70d5b64,-0.21966959712881362,-0.07359769876831626,-0.005754332295387699,0.06297631580784997,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.16,6,2.0,0.2,4,1
5bb61994,-0.35267757652582077,-0.10418041478719987,-0.008109155403789692,0.0773758428218275,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.12,4,2.0,1.0,1,0
f1939196,-0.14816855007848062,-0.07543061668273018,-0.006489820690700889,0.038148189453128006,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.16,8,2.0,0.2,1,1
a3385ac1,-0.06790320781510673,-0.0625816017757221,-0.006142928453503054,0.03242642976320079,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.08,8,2.0,0.2,4,0
1fa278c4,-0.5578514492335671,-0.17310714103309446,-0.015481421820886663,0.11496564531097535,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.08,8,1.0,1.0,4,1
6658b61f,-0.18727400731768284,-0.093965818536222,-0.008817519272127287,0.05187882262109256,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.08,4,2.0,0.2,2,0
16d6571c,-0.37243434511401574,-0.183069179559392,-0.01879057541696815,0.14865114858887163,1,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.08,4,1.0,0.2,4,1
cd0a2e96,-0.5002469835962984,-0.160731299340512,-0.012322978434182282,0.10850980000116886,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.16,4,1.0,0.2,1,0
2a2332a4,-0.0896615580550133,-0.06593602369262584,-0.006499165334998531,0.04268991327651061,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.16,4,2.0,1.0,1,1
b2d13d0d,-0.05375411514796724,-0.10809287848831604,-0.008498494315002065,0.060858525692032456,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.16,8,2.0,0.2,2,1
