run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,extra_spread_ticks,gamma,k_vol,hold_time,hedge_fraction
a11c1804,-3.170564319605546,-0.8262959713549326,-0.12936376267890554,1.0394627033696158,0,30,0.08,2,1.5,0.025
8f187410,-1.53725551291609,-1.133924174040977,-0.18517278869730297,1.1870159019415045,0,20,0.12,6,1.0,1.0
2c156285,-2.7233560166532698,-1.1812266564748095,-0.1201471640400285,0.8469259141773049,0,20,0.08,4,1.5,0.025
143dd747,-2.7596640008705435,-1.2740074272933042,-0.15073498806620486,1.0786998772768723,0,20,0.08,2,1.0,0.2
69d87c7c,-1.2455507531267358,-1.2465318862487662,-0.12972299030975118,0.9745744548624804,0,20,0.08,6,1.5,0.025
f3d34211,-2.8650168865951855,-1.1566768938827658,-0.16636477407989997,1.4708204068109887,0,15,0.16,2,1.0,0.025
b90e6d8e,0.49020579427451594,-0.8618735796639089,-0.08520539844852125,0.5562091373812413,0,30,0.08,4,2.0,1.0
53a03dd2,-0.7811939671664732,-1.3648990709619542,-0.12558472738737983,0.8973534981105021,0,20,0.08,6,1.5,0.025
d766e1d9,0.0366895187580667,-0.7669110909546022,-0.06501147481528775,0.44502473315763774,0,15,0.12,4,2.0,0.025
a3fb7fff,-3.619887928110984,-1.4666539931388891,-0.1694819844726281,1.2486657339237814,0,20,0.08,4,1.0,0.2
b6642ea2,-4.358483998983502,-1.0679397269588462,-0.13981897467688187,1.0504883411434498,0,30,0.16,4,1.5,0.025
db17b0ca,-0.40565691090705513,-2.0545457389128723,-0.17117002978991339,1.651114932135446,0,20,0.12,2,1.0,0.025
5e984d22,-0.7814234607667458,-0.27694862205597837,-0.0671441987685321,0.569817723807388,0,10,0.16,6,2.0,1.0
772c1f91,-1.3808438569485588,-2.15522608627135,-0.20206591957818595,1.3858833292882227,0,15,0.08,6,1.0,0.2
d44ad96a,-1.6301590370294434,-1.677190837665884,-0.15698938332180837,0.9866178709096426,0,30,0.08,6,1.5,0.2
f4c53949,-0.11783941603607673,-1.0679712482305372,-0.10224959417847093,0.7239647732619978,0,20,0.12,6,2.0,0.2
5827bd64,-2.9560775307400036,-2.0509699161058275,-0.21552241424654542,1.5510850201826334,0,20,0.16,6,1.0,0.2
ff14c6e8,-0.05754701933983597,-0.6909959269884659,-0.07005843353715972,0.4575581493153084,0,25,0.08,2,2.0,1.0
66ae8d9b,0.3940804343619675,-0.43547090268341726,-0.0666057423252898,0.5623984825109293,0,15,0.08,6,2.0,1.0
1a726946,-2.190754425471823,-0.5543682833710253,-0.1254485556302076,0.858398994644639,0,20,0.08,2,1.5,1.0
51b0a099,-0.31742775130805967,-0.6248668552403178,-0.08527311524178804,0.6441128678076271,0,30,0.12,2,2.0,0.025
126a78ec,-3.3155702397307323,-1.9990386878826334,-0.2538941575853625,1.6118282295445687,0,10,0.08,4,1.0,0.025
29251008,-0.8356968569005403,-0.7205513199084709,-0.09095681761088627,0.6482961833542862,0,20,0.08,4,2.0,0.025
18ef0391,0.39710319774712843,-0.3548129405131146,-0.06560482762232096,0.5213322971444365,0,15,0.16,6,2.0,0.025
12a44372,-0.8409642113110749,-0.025090910728294693,-0.09152407537084974,0.6425481189380613,0,30,0.16,6,2.0,1.0
021a2439,-0.42476196258940035,-0.7466017217536594,-0.08549428346610274,0.6583591917873309,0,10,0.16,6,2.0,0.025
58d5fdaa,-0.7029860233469662,-0.8690987213791052,-0.10942099600964403,0.9130274692164203,0,25,0.16,4,2.0,0.2
a0aafc5e,-2.708449536041371,-1.1761544907205317,-0.12040851668771083,0.9574270952201931,0,10,0.12,4,1.5,0.2
3a7b6adb,-2.6488031780518213,-1.0172733809440562,-0.16968352028904235,1.2311483688992635,0,10,0.08,2,1.5,1.0
8e21d668,-0.0611116285672324,-1.1795660230108962,-0.088199593480509,0.6756413968063197,0,20,0.08,2,2.0,0.025
90d565e3,-1.3190455875810585,-1.2979615187124944,-0.12063362637773505,0.8574388962628327,0,30,0.16,4,1.5,0.2
268aeee4,0.2144882956526999,-0.3866663314494998,-0.07945088326046199,0.6225122092181529,0,25,0.08,6,2.0,1.0
f67273ac,0.17460992927044572,-0.9202635989078787,-0.06667246316614593,0.35978012506916035,0,20,0.08,2,2.0,1.0
255c7911,0.6166077632642555,-0.11271049738598282,-0.08092664852566193,0.5072526346072633,0,30,0.08,4,2.0,0.2
25de4b51,-1.5384879604025627,-1.6806686405808688,-0.1575056522485207,1.0886481111532376,0,10,0.08,4,1.5,0.025
5682042b,-0.3836317950699595,-0.5755146186682343,-0.07520379384033087,0.7226081831304365,0,20,0.12,2,2.0,0.2
d5b97979,-0.27696631333492405,-0.8616882452600404,-0.10221056198305516,0.6313612488206319,0,20,0.16,6,2.0,0.025
afa9d0d2,0.08514598803776607,-0.22620027692754663,-0.09792363299847925,0.6345048302980683,0,25,0.08,2,2.0,0.2
962a08e3,-0.7140641041860363,-1.3819883692316883,-0.20863394575487468,1.561504794112093,0,15,0.16,6,1.0,1.0
75ede344,-2.9237781437986996,-0.4897686941376556,-0.11243760275011455,0.8083597480601923,0,15,0.12,6,1.5,0.025
daed6b86,0.5108367155607993,-0.6582026304180809,-0.08368168628372566,0.6331843938806119,0,10,0.12,6,2.0,1.0
697a4c15,-2.6739386914268835,-0.49508679337991596,-0.1340935279170497,0.8926985827149972,0,20,0.16,6,1.5,1.0
ea447868,-2.064955072955854,-1.1117173130952953,-0.1048879421693468,0.6066759355902696,0,20,0.12,6,1.5,1.0
d210e287,-0.4949621472587751,-0.700466328925767,-0.07534553486119738,0.5494510013281667,0,15,0.16,4,2.0,0.025
9c80fac0,-1.6368988667381927,-2.195697155194271,-0.17752968324265198,1.053025370031667,0,30,0.12,2,1.5,1.0
0ffdee27,-1.4776433736114996,-1.1854457865410124,-0.19113768101612127,1.4570495648451458,0,15,0.16,2,1.0,1.0
92961bb2,-2.0027471927533043,-1.4072496310437552,-0.15682620196650213,1.146595372555428,0,25,0.12,2,1.5,1.0
2e6e70ab,-3.1027103505948617,-1.3579317633882342,-0.19622771690730823,1.5140971545710258,0,25,0.16,4,1.0,0.025
b95f7bda,-0.175588590438565,-0.8621811202340947,-0.07526832626811639,0.5463045159610445,0,25,0.08,6,2.0,1.0
3761c428,0.28300947057323356,-0.4893451367891568,-0.08926988071995128,0.6766615867985862,0,30,0.16,6,2.0,0.025
c4756608,0.03521337755046261,-1.2294637930767545,-0.10906227801541209,0.9016741779805326,0,10,0.16,4,2.0,1.0
d0e3f53d,-2.0614839190438943,-1.7468660521500954,-0.13919327097772327,1.0001989650651728,0,10,0.16,4,1.5,0.2
a2b467f4,-1.8466036857098516,-1.001574975108149,-0.1412295067240507,1.065338135175839,0,30,0.08,2,1.5,0.2
3d08b759,0.6860851636356529,-0.5875684551870173,-0.07276442021187902,0.749955051889974,0,20,0.16,6,2.0,1.0
286cd10e,-1.5811478751966206,-0.21648931307824051,-0.09060736214759361,0.745621555205244,0,20,0.12,6,2.0,0.025
fe869f6f,-0.004054740998981288,-0.43949028011683466,-0.09585320061543542,0.8812729231025963,0,25,0.08,6,2.0,0.025
7fd69dbd,-1.9208308779707295,-2.486539809147925,-0.2201756596414264,1.6924778797073505,0,10,0.16,2,1.0,0.2
d0c70fb2,-0.9801670465967618,-1.4872082312936312,-0.18244468828851648,1.2029175012023197,0,30,0.12,2,1.0,1.0
5e4b6ed3,-1.0389723238913575,-2.4112182118195946,-0.26351815134165085,1.8872126113522414,0,10,0.08,2,1.0,1.0
510586e0,-2.2876783723277185,-2.5383038304187604,-0.1543941038519572,1.0170579730710139,0,10,0.16,2,1.5,0.025
7bbf9a9b,-1.6095028629279113,-1.1015052961496303,-0.17061156955125983,1.441206777263828,0,20,0.08,6,1.0,1.0
b090718b,-2.81722082962915,-0.658588627192771,-0.17899104987251083,1.5177312787621284,0,30,0.16,4,1.0,0.025
23c2855d,-2.458806553768227,-0.6710214905979883,-0.11637614338974564,0.9888889321204801,0,20,0.12,6,2.0,0.2
afce9bf1,-0.9267715689129545,-0.2616206628792095,-0.0965407979473502,0.7077770346860283,0,20,0.16,2,2.0,1.0
af6f14ad,-0.718214970351255,-0.4320958815939083,-0.07090046116975159,0.6451032861375552,0,30,0.16,6,2.0,0.2
65458e83,0.08870826607926574,-0.8536466912069681,-0.16869824591014604,1.5284298085712722,0,20,0.08,4,1.0,0.025
e19cc347,-2.4965706811999553,-0.6019008905582253,-0.13252727801882944,1.124687398211598,0,15,0.08,2,1.5,0.025
11ba06f5,-0.1726468531996943,-1.1283195983014633,-0.09933108250859449,0.7568645217859498,0,10,0.12,4,2.0,0.2
13590d4c,-1.088160631552455,-1.0904768776386748,-0.1178968373424487,0.6818401658926299,0,10,0.12,6,1.5,1.0
1a75f431,-0.3377840733010089,-1.0452863305359643,-0.10968457167280335,0.7569930824089679,0,15,0.08,6,2.0,0.025
e868c8c6,-0.28436136948403146,-2.007421617212793,-0.17349387165736382,1.4165794068151971,0,25,0.16,6,1.0,1.0
1d6fcae4,-1.241096833577103,-0.6113226782609882,-0.09464261056806401,0.7635057802193672,0,25,0.16,2,1.5,1.0
d9442560,-1.7130556507763686,-1.7726769973550913,-0.22667078676270005,1.8111684285061018,0,30,0.16,6,1.0,0.2
b77bd02c,-1.9397791507180955,-0.5515063131469237,-0.11519899805038598,0.6475466368075725,0,20,0.12,4,1.5,1.0
