run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,k_vol,gamma,size_base,order_ttl
bf708668,-2.216074521833434,-1.8663007640743983,0.0,0.0,0,1.3,0.05,0.02,0.2
2bfdbaf5,-7.848195520651643,-7.700038922800781,-0.47716372182385747,1.176243801748498,3,2.0,0.05,0.02,0.4
aa412b65,-7.681014989493633,-7.710507720319638,-0.28277792944225766,0.9456773876022111,2,1.3,0.05,0.02,0.3
523ca827,-8.450395562109406,-7.967843039915328,-0.7445055763818162,1.202033588054122,6,2.0,0.05,0.02,0.4
bfccf4f2,-3.41147433214428,-3.5642293759035764,-0.09240174729109772,0.5017783539936204,0,1.3,0.2,0.01,0.4
