run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,k_vol,gamma,gamma_inv_scale,gamma_vol_scale,gamma_cap_factor,gamma_imb,size_base,size_min_factor,size_exp,max_inventory,order_ttl
ea599d02,-1.7101027270182385,-1.8087744354397732,-0.045686482313345246,0.28402783214988675,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.1,0.4
dfb376a6,-0.5540518444486224,-0.4666040609643563,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.2,0.2
54fca262,-0.5541277743432147,-0.4666685145284763,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.05,0.2
e2c07b1d,-1.7640987077556929,-1.8281810661792501,-0.05049953274169534,0.2576178933768836,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.2,0.4
93522de3,-1.7260310840301827,-1.7909371101876266,-0.04893270660749802,0.24997999220333356,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.2,0.3
7e7ba05e,-1.589630987828059,-1.7141614837778572,-0.04704906893226474,0.2698642604032589,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.2,0.6
9b3aa81e,-1.5075240217556711,-1.635974288218661,-0.04613722419381902,0.25638608146450775,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.05,0.6
f45ae311,-1.7587371138106391,-1.8142945218065198,-0.04908129330995918,0.24115462956974637,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.05,0.3
91b2277b,-1.7169254028522118,-1.800546680026294,-0.046171014144239006,0.25968378671299724,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.05,0.4
00c0d2bb,-0.5541277743432147,-0.4666685145284763,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.1,0.2
57364cab,-0.5541277743432147,-0.4666685145284763,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.2,0.2
cad846be,-1.7336205080646323,-1.7847311576300935,-0.04365078938924997,0.22197261228387213,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.1,0.3
716fe4f8,-1.5783763691360946,-1.6817644327167192,-0.04469770850795943,0.22317700708022414,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.1,0.6
54689081,-1.7103914169256313,-1.7929561395114406,-0.04847985058613139,0.26452077958577513,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.1,0.4
eaaeaa2b,-1.7744272664058371,-1.81413664248731,-0.04723340621604309,0.22479617192178267,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.2,0.3
0989aec2,-1.5704268214558397,-1.6760150142641732,-0.04857728603092637,0.24288407838795864,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.2,0.6
bb692af5,-1.754983068223737,-1.8156920129725038,-0.047271983866167655,0.24238860719959063,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.2,0.4
7b95ef55,-0.5540898051585827,-0.466636284184133,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.05,0.2
a627c42f,-0.5298587397064694,-0.4425802015836965,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.1,0.2
d38fc94e,-1.747038311959841,-1.836829674353764,-0.046303215768129305,0.27526149093486246,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.05,0.3
5142a618,-1.7320485256004758,-1.8432117238531989,-0.048817613202446104,0.29004761585549643,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.05,0.4
f47abb69,-1.7027354289493815,-1.7622916207067443,-0.04949364211270014,0.2288659674141812,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.05,0.6
81907c03,-1.7440991323637718,-1.7907226088906694,-0.046229482260896224,0.21021925120433166,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.1,0.3
eca07061,-1.5569235740695149,-1.6866150282520378,-0.04716041963141385,0.2558676528666141,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.1,0.6
7bf47b1d,-1.731113889032713,-1.7918141563042473,-0.046794533750086964,0.23642882837820225,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.1,0.4
d50408f8,-0.6116403555242869,-0.5147388845169226,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.2,0.2
94edfd3a,-0.5540518444486224,-0.4666040609643563,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.05,0.2
0a3e8773,-1.6048687944530684,-1.7191028476925925,-0.045706909134391516,0.24978730492093634,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.2,0.3
91c21917,-1.7304857317776623,-1.8099621351340633,-0.04697225943752158,0.2558163022072237,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.2,0.4
ed8fc008,-1.7398267716944247,-1.792162562746072,-0.045408109776640976,0.21992944242795873,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.05,0.3
3d46ed56,-1.5443532987919752,-1.6469792115320734,-0.04598814186753021,0.2366103285814239,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,2,0.2,0.6
794b3a7f,-1.7967017998635129,-1.8457409160172522,-0.04753110856519346,0.23584293668254322,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.05,0.4
04736f7d,-1.606887795651346,-1.73144515508157,-0.04875105492807327,0.2801828995558651,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.05,0.6
dfacabc0,-0.5540518444486224,-0.4666040609643563,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.1,0.2
bf487861,-1.7581904946746363,-1.811208081537148,-0.0498615903899643,0.23122745355084867,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.1,0.3
1687ef79,-0.5540518444486224,-0.4666040609643563,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.2,0.2
373d0ddf,-1.6329262057352025,-1.7253914570833262,-0.046590270822667826,0.2236146721533455,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.1,0.6
03b53c97,-1.6499244774786348,-1.7423539461349857,-0.0480704125235818,0.26093881342968767,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.1,0.4
c1419b6b,-1.7768568783540104,-1.8071920746681642,-0.05052215603433012,0.21392332385926044,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.2,0.3
b78e2d00,-1.726212813058737,-1.798660740698164,-0.046814974160133936,0.2499825040834488,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.2,0.4
94e5005a,-1.573195751872845,-1.7020738421055308,-0.04430273891777071,0.26593848405361703,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,3,0.2,0.6
e43e5b39,-0.5541277743432147,-0.4666685145284763,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.05,0.2
