#{"t_start": 1752175468.5749242, "env_id": "None"}
r,l,t
-2681.724704,410,4.586642
-1937.109342,359,5.18422
-2821.681759,408,5.77531
-2361.907007,396,6.33445
-2115.992721,371,6.670227
-2104.131878,357,7.190516
-2293.518638,361,7.722378
-2805.312701,396,8.069719
-2435.957066,355,8.62095
-2286.913752,376,9.198287
-2054.64223,318,9.723404
-2260.5343,380,10.077061
-2146.888842,352,10.618159
-1840.897063,347,11.138647
-1934.657479,340,11.446061
-1139.908211,290,11.953689
-1629.502291,315,12.232838
-3940.270509,498,12.88096
-1410.709083,296,13.355355
-1636.280233,304,13.880902
-993.008388,268,14.129459
-1986.640232,256,14.596987
-834.177188,252,14.88157
-1899.33454,341,15.50041
-1613.421712,316,15.789749
-1007.201358,284,16.268178
-1212.621715,269,16.531056
-1116.379911,290,17.024463
-973.216865,273,17.493119
-605.672357,245,17.725979
-1171.467394,278,18.230399
-360.304805,227,18.476084
-5148.502501,506,19.11548
-613.867985,241,19.684446
-1319.184444,272,19.974882
-448.712955,228,20.204027
-391.304649,227,20.701364
-624.6739,227,20.934184
-552.480434,232,21.365255
-341.159455,216,21.575453
-540.675374,236,22.045714
-393.063868,219,22.260155
-496.981963,226,22.750143
-523.424238,219,22.981486
-725.89354,235,23.217672
-209.990673,215,23.652153
-100.213074,205,23.865691
-270.341388,217,24.287202
-153.723947,205,24.474047
-682.944686,231,24.925834
-106.966854,209,25.140987
-215.265371,211,25.349618
-304.369961,210,25.781976
-197.353941,206,25.980486
-525.898762,223,26.42448
-208.380616,214,26.62615
-139.201922,207,26.84313
-264.21349,209,27.265056
-77.731493,204,27.47388
-217.41938,211,27.885528
-113.363705,205,28.077841
-268.236844,212,28.291086
-119.727108,206,28.698691
-97.447325,206,28.897482
-177.606738,205,29.311678
-135.221709,204,29.518458
-132.643159,205,29.725149
-90.54099,205,30.125795
-79.653687,205,30.335912
-79.043041,204,30.729869
-166.802498,206,30.948245
-380.816852,211,31.352436
-172.68672,204,31.559384
-54.464876,201,31.765546
-81.385613,206,32.184241
-187.76294,203,32.377916
-24.950436,201,32.592588
-4.044623,200,33.195
-18.625941,200,33.38495
-111.385438,200,33.559577
-38.478835,200,33.731825
-14.045219,200,33.93045
-40.474684,200,34.083792
-53.643156,200,34.242848
-1.718199,200,34.401741
-26.254088,200,34.577292
-358.894613,200,34.755732
