#{"t_start": 1752163085.1828399, "env_id": "None"}
r,l,t
-2506.282917,424,4.448131
-2442.299625,400,5.320601
-2621.732825,407,5.960142
-2888.753801,435,6.625253
-2210.877705,374,6.991139
-2272.51245,360,7.667947
-2684.89361,392,8.346001
-2409.200883,384,8.958313
-1824.951546,329,9.288896
-2168.347625,374,9.974274
-2129.258082,367,10.606115
-1458.20889,317,10.931898
-1801.311185,335,11.507719
-1498.79797,334,12.134171
-1479.562344,309,12.460313
-1116.772146,284,13.047045
-1497.554845,304,13.366894
-1157.245964,252,13.943068
-1099.983101,261,14.223123
-763.794718,248,14.772954
-758.281929,239,15.041681
-896.218591,260,15.607659
-758.137664,236,15.85543
-869.553996,259,16.411513
-851.298091,243,16.667148
-682.921766,251,17.217928
-758.173673,236,17.467677
-3230.355397,355,18.122914
-472.346469,232,18.37838
-643.512995,246,18.988101
-717.520052,238,19.254691
-647.454355,238,19.798394
-426.225903,229,20.086565
-645.016154,221,20.626368
-510.2236,227,20.880309
-511.068872,233,21.411382
-790.528736,232,21.681162
-2374.43243,265,22.234392
-1109.294202,224,22.504066
-2113.594064,262,23.044679
-401.572189,223,23.30601
-1597.499348,244,23.577318
-1229.710548,228,24.125154
-283.699149,220,24.369144
-354.210769,213,24.900708
-456.511213,211,25.15232
-477.946135,218,25.653184
-196.081494,209,25.901201
-870.892405,212,26.150452
-274.335356,212,26.62121
-271.745597,210,26.837612
-267.132014,212,27.282281
-840.291549,207,27.512045
-267.953312,211,27.725343
-239.113122,207,28.202651
-694.107235,217,28.431337
-374.976503,213,28.883713
-402.112415,208,29.106311
-236.937169,205,29.540344
-107.628485,206,29.763116
-1390.410566,245,30.018569
-102.533353,208,30.489438
-176.183494,206,30.710114
-294.508016,205,31.174304
-88.41786,202,31.394445
-751.454523,218,31.631508
-108.719578,207,32.152928
-249.41069,208,32.375447
-521.841805,224,32.852215
-197.581991,206,33.069411
-177.558327,206,33.52139
-320.656938,209,33.756145
-113.101093,203,33.965604
-153.109881,203,34.444822
-185.864171,202,34.661268
-101.069657,202,34.8674
-214.169223,205,35.332087
-262.490109,207,35.550915
-298.725666,203,36.003334
-144.644116,208,36.231274
-127.402956,200,37.129201
-211.61774,200,37.315665
-64.614441,200,37.482422
-68.428536,200,37.647922
-39.597077,200,37.812091
-91.447152,200,37.983581
-29.200597,200,38.151542
-73.281099,200,38.316954
-29.56622,200,38.484664
-36.10874,200,38.661662
