#{"t_start": 1752160879.380246, "env_id": "None"}
r,l,t
-2789.76958,417,5.602137
-2292.382138,393,6.708595
-2254.685357,360,7.296349
-2140.024673,333,7.654192
-2930.676919,420,8.396792
-1844.898083,337,9.009999
-2305.854886,379,9.781093
-2290.083419,371,10.248833
-1788.628225,316,10.8038
-2196.968518,350,11.412264
-2334.543632,361,11.754443
-1759.895733,329,12.311084
-1074.720523,280,12.844201
-2236.889542,328,13.184249
-1232.358667,300,13.731256
-574.873488,250,13.979072
-1887.214436,326,14.565416
-811.971844,248,14.83786
-1525.38218,298,15.445569
-1027.153856,274,16.005834
-760.203358,261,16.285816
-1521.460676,309,16.858904
-1579.850953,248,17.173717
-640.96167,250,17.659697
-1226.109514,287,17.979304
-1138.740326,268,18.465709
-363.256486,227,18.700009
-713.083123,240,19.166918
-831.006685,247,19.433158
-502.419201,231,19.881913
-442.673654,233,20.140774
-358.357967,222,20.357491
-437.800043,226,20.833741
-249.151303,216,21.049427
-495.097524,228,21.569175
-291.819892,221,21.804606
-1970.382477,282,22.330233
-320.16728,217,22.541612
-298.040339,218,23.010504
-600.748706,228,23.248439
-782.863644,237,23.488775
-411.316599,227,23.995343
-106.569118,208,24.218369
-338.830406,223,24.71238
-415.737965,223,24.942491
-388.70425,220,25.402386
-222.2877,209,25.651877
-322.2778,216,25.878628
-628.340417,228,26.396654
-309.133934,217,26.62842
-613.593616,228,27.142704
-269.143549,214,27.361455
-258.719928,218,27.841037
-193.64067,208,28.066149
-622.365728,233,28.290819
-158.975367,212,28.770617
-316.087025,214,28.983984
-233.228519,212,29.445661
-121.564304,206,29.650815
-201.372386,213,30.119214
-1627.608986,287,30.397797
-94.486007,205,30.851748
-98.931508,202,31.085192
-406.34439,214,31.291986
-134.759777,209,31.775718
-278.142864,210,31.998451
-326.94531,213,32.486912
-178.723162,206,32.758945
-148.577934,207,33.050322
-54.297372,204,33.572319
-349.726337,212,33.804928
-240.534854,207,34.292804
-120.472517,208,34.532688
-128.246244,208,34.746203
-56.548954,200,35.228485
-38.131553,203,35.43211
-131.327243,203,35.895417
-29.597323,201,36.148474
-41.398068,202,36.365272
-196.431144,209,36.882699
-177.23436,210,37.080342
-111.21199,200,37.925443
-51.78278,200,38.095968
-15.211957,200,38.254082
-9.465409,200,38.427524
-98.186189,200,38.601676
-50.947297,200,38.760906
-21.679678,200,38.934616
-39.654121,200,39.125547
-130.531117,200,39.323472
-29.884259,200,39.54289
