#{"t_start": 1752161904.17777, "env_id": "None"}
r,l,t
-2578.137768,420,5.77357
-2313.713362,372,6.451719
-2589.220623,386,7.198745
-2540.282019,392,7.884979
-2726.675662,404,8.318596
-3438.636748,441,8.999408
-2366.16791,383,9.73268
-2479.823254,377,10.359936
-2069.988134,352,10.693241
-1856.733611,356,11.306772
-2063.776657,368,11.893209
-1879.806025,353,12.23614
-1770.837667,347,12.814204
-1832.848728,336,13.397517
-2061.877292,335,13.718361
-1116.286517,277,14.227836
-1461.434453,282,14.749237
-1454.450196,287,15.062311
-1820.555613,290,15.588363
-1480.869349,266,15.855245
-1131.232895,271,16.362128
-805.870069,252,16.62309
-697.335214,246,17.122397
-725.262021,259,17.375787
-1044.422703,278,17.895872
-821.914257,258,18.136107
-739.532399,248,18.636639
-693.204516,250,18.885065
-1246.755136,262,19.387586
-629.387231,240,19.629879
-335.158988,227,20.09676
-991.828365,259,20.376699
-517.088061,230,20.865149
-445.711774,229,21.097046
-487.216287,233,21.617374
-462.975075,212,21.870745
-415.33338,225,22.097547
-506.179721,218,22.566379
-276.418921,211,22.780991
-633.923492,222,23.27133
-279.133513,222,23.497912
-277.097475,215,23.951563
-166.498777,210,24.191473
-232.448485,208,24.405064
-167.496559,208,24.873954
-169.182341,212,25.110312
-1809.155496,274,25.618911
-127.102276,208,25.845613
-123.017301,210,26.059033
-159.963477,207,26.499072
-4652.628469,545,27.232723
-164.122231,208,27.446009
-232.495275,212,27.911236
-76.355725,203,28.11307
-359.106149,214,28.566616
-68.071593,202,28.779496
-126.677722,207,28.99162
-161.979911,205,29.451074
-167.577467,210,29.660308
-299.321287,210,30.121894
-92.116147,206,30.340448
-115.459292,205,30.540539
-134.365831,205,31.029034
-26.158791,201,31.230793
-48.219358,202,31.674377
-303.164851,205,31.901087
-104.152938,204,32.114606
-141.08768,203,32.585614
-24.957833,200,32.787508
-107.228027,200,33.239157
-54.23583,202,33.44839
-50.71206,201,33.661817
-126.555381,202,34.184232
-181.851535,201,34.39547
-104.266927,203,34.855016
-43.009091,201,35.07515
-68.661568,200,35.275751
-35.583518,201,35.71809
-45.455965,201,35.92934
-6.853173,200,36.693555
-53.32841,200,36.863113
-118.967027,200,37.036353
-5.46102,200,37.201943
-76.059607,200,37.35642
-35.366613,200,37.532563
-45.824866,200,37.689862
-62.16006,200,37.863335
-7.959962,200,38.025386
-237.713275,200,38.223457
